,Iteration,Time,Perturbation,Step,NRMSE
87,88,30,1.2781497177233991,25.349446422881492,0.04454884070221012
88,89,31,1.276706281050781,25.2715673189397,0.03893473364607292
89,90,31,1.2752805753856336,25.194714512415242,0.03767699306559268
90,91,31,1.2738721895056042,25.118864315095802,0.03710832754081344
91,92,32,1.2724807261133741,25.04399381545132,0.03676533090764103
92,93,32,1.2711058012197465,24.970080845777748,0.03651029587066142
93,94,33,1.2697470435603673,24.89710395103733,0.03627671981966972
94,95,33,1.2684040940439103,24.825042359292194,0.03606183707496863
95,96,33,1.267076605229716,24.753875953635447,0.03582644126576854
96,97,34,1.2657642408330247,24.683585245530352,0.03559203791133888
97,98,34,1.2644666752560785,24.614151349474525,0.03528745379557609
98,99,34,1.2631835931434896,24.54555595891148,0.03496356470320954
99,100,35,1.2619146889603865,24.477781323317327,0.03460097141051627
